Player,Team,Position,Position Rank,Average,Std. Dev.,Total,Weekly Floor,Weekly Ceiling,#Top-12,#13-24,#24-36,#Rest,Position,Avg>StdDev,#Startable,TE Filter,Requirement
Charles Sims,TB,RB,71,3.73,2.94,29.80,0.78,6.67,0,0,2,6,2,1,2,0,0
Samaje Perine,WAS,RB,72,3.69,4.56,29.50,-0.88,8.25,0,1,0,7,2,0,1,0,0
Terrance West,BAL,RB,73,5.62,6.29,28.10,-0.67,11.91,0,2,0,7,2,0,2,0,0
T.J. Yeldon,JAX,RB,74,3.36,7.14,26.90,-3.77,10.50,1,0,0,7,2,0,1,0,0
Robert Turbin,IND,RB,75,2.88,2.79,25.90,0.09,5.67,0,0,1,8,2,1,1,0,0
Kyle Juszczyk,SF,RB,76,2.70,3.18,24.30,-0.48,5.88,0,0,1,8,2,0,1,0,0
Kenyan Drake,MIA,RB,77,2.83,5.26,22.60,-2.43,8.08,1,0,0,7,2,0,1,0,0
Benny Cunningham,CHI,RB,78,2.70,4.17,21.60,-1.47,6.87,0,1,0,7,2,0,1,0,0
Chris Johnson,ARI,RB,79,2.59,3.10,20.70,-0.52,5.69,0,0,1,7,2,0,1,0,0
Corey Grant,JAX,RB,80,2.43,3.30,19.40,-0.87,5.72,0,0,1,7,2,0,1,0,0
Kerwynn Williams,ARI,RB,81,2.39,2.61,19.10,-0.23,5.00,0,0,1,7,2,0,1,0,0
Eddie Lacy,SEA,RB,82,2.38,2.34,19.00,0.03,4.72,0,0,0,8,2,1,0,0,0
Thomas Rawls,SEA,RB,82,2.38,3.24,19.00,-0.86,5.61,0,0,1,7,2,0,1,0,0
Darren Sproles,PHI,RB,84,8.65,0.85,17.30,7.80,9.50,0,0,2,7,2,1,2,0,0
Jeremy Hill,CIN,RB,85,2.15,1.39,17.20,0.76,3.54,0,0,0,8,2,1,0,0,0
Jamaal Williams,GB,RB,85,2.15,3.52,17.20,-1.37,5.67,0,1,0,7,2,0,1,0,0
C.J. Prosise,SEA,RB,87,5.57,3.81,16.70,1.76,9.37,0,0,1,7,2,1,1,0,0
Paul Perkins,NYG,RB,88,2.08,2.15,16.60,-0.07,4.22,0,0,0,8,2,0,0,0,0
Tommy Bohanon,JAX,RB,89,2.04,2.24,16.30,-0.21,4.28,0,0,0,8,2,0,0,0,0
Alfred Morris,DAL,RB,90,1.69,2.47,13.50,-0.78,4.16,0,0,0,8,2,0,0,0,0
Fozzy Whittaker,CAR,RB,91,1.49,3.88,13.40,-2.39,5.37,0,0,1,8,2,0,1,0,0
Branden Oliver,LAC,RB,92,1.64,2.39,13.10,-0.75,4.03,0,0,0,8,2,0,0,0,0
David Johnson,ARI,RB,93,13.00,0.00,13.00,13.00,13.00,0,1,0,7,2,1,1,0,0
Tyler Ervin,HOU,RB,93,1.63,2.42,13.00,-0.79,4.04,0,0,0,8,2,0,0,0,0
C.J. Ham,MIN,RB,95,1.58,1.98,12.60,-0.41,3.56,0,0,0,8,2,0,0,0,0
Peyton Barber,TB,RB,96,1.54,2.69,12.30,-1.15,4.23,0,0,1,7,2,0,1,0,0
Rod Smith,DAL,RB,97,1.40,2.51,11.20,-1.11,3.91,0,0,1,7,2,0,1,0,0
Jamize Olawale,OAK,RB,98,1.23,2.11,11.10,-0.87,3.34,0,0,0,9,2,0,0,0,0
Bobby Rainey,BAL,RB,99,1.01,2.86,9.10,-1.85,3.87,0,0,1,8,2,0,1,0,0
James Conner,PIT,RB,100,1.11,0.81,8.90,0.30,1.92,0,0,0,8,2,1,0,0,0
Tre Madden,SEA,RB,101,1.06,2.49,8.50,-1.43,3.55,0,0,1,7,2,0,1,0,0
Kenjon Barner,PHI,RB,102,0.93,1.25,8.40,-0.31,2.18,0,0,0,9,2,0,0,0,0
Zach Zenner,DET,RB,103,0.95,2.33,7.60,-1.38,3.28,0,0,0,8,2,0,0,0,0
Aaron Ripkowski,GB,RB,104,0.91,0.90,7.30,0.02,1.81,0,0,0,8,2,1,0,0,0
Danny Woodhead,BAL,RB,105,6.70,0.00,6.70,6.70,6.70,0,0,0,9,2,1,0,0,0
Matthew Dayes,CLE,RB,106,0.79,1.34,6.30,-0.55,2.12,0,0,0,8,2,0,0,0,0
Jalston Fowler,TEN,RB,107,0.79,2.08,6.30,-1.30,2.87,0,0,0,8,2,0,0,0,0
Travaris Cadet,NYJ,RB,108,0.66,1.85,5.90,-1.20,2.51,0,0,0,9,2,0,0,0,0
Dwayne Washington,DET,RB,109,1.45,1.00,5.80,0.45,2.45,0,0,0,8,2,1,0,0,0
Mack Brown,MIN,RB,110,0.71,1.13,5.00,-0.42,1.85,0,0,0,7,2,0,0,0,0
James Develin,NE,RB,110,0.63,1.17,5.00,-0.55,1.80,0,0,0,8,2,0,0,0,0
